2017-06-24 21:04:05,767 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-06-24 21:05:14,419 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.saucelabs:java-junit-selenium:1.0-SNAPSHOT @ /Users/Jyothin/competitors/Java-Junit-Selenium/pom.xml.
2017-06-24 21:05:14,427 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.saucelabs:java-junit-selenium:1.0-SNAPSHOT @ /Users/Jyothin/competitors/Java-Junit-Selenium/pom.xml.
2017-06-24 21:05:15,383 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-24 21:05:15,384 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jyothin/competitors/Java-Junit-Selenium/src/main/resources
2017-06-24 21:05:15,387 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-24 21:05:15,388 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jyothin/competitors/Java-Junit-Selenium/src/test/resources
2017-06-24 21:05:17,077 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.saucelabs:java-junit-selenium:1.0-SNAPSHOT @ /Users/Jyothin/competitors/Java-Junit-Selenium/pom.xml.
2017-06-24 21:05:17,100 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-24 21:05:17,102 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jyothin/competitors/Java-Junit-Selenium/src/main/resources
2017-06-24 21:05:17,105 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-24 21:05:17,106 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jyothin/competitors/Java-Junit-Selenium/src/test/resources
2017-06-24 21:05:18,306 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-24 21:05:18,307 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jyothin/competitors/Java-Junit-Selenium/src/main/resources
2017-06-24 21:05:18,310 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-24 21:05:18,310 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jyothin/competitors/Java-Junit-Selenium/src/test/resources
2017-06-24 21:15:25,740 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-24 21:15:26,022 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.browserstack.benchmark:sauce:1.0-SNAPSHOT @ /Users/Jyothin/competitors/benchmark/sauce/pom.xml.
2017-06-24 21:15:26,381 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sauce/src/main/java
2017-06-24 21:15:26,387 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sauce/src/test/java
2017-06-24 21:15:28,694 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-06-24 21:15:29,022 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
